startup_name,sector,city,amount_usd,investment_type,investors,date
Medikabazaar,Healthcare,Mumbai,15800000.0,Series B,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",18/11/2019
Vogo Automotive,Last Mile Transportation,Kormangala,283000000.0,Series B,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",15/11/2019
Furtados School of Music,Education,Tulangan,200000000.0,,IAN Fund and DSG Consumer Partners,19/11/2019
Paytm,FinTech,Noida,1000000000.0,Funding Round,Vijay Shekhar Sharma,25/11/2019
Dunzo,Customer Service,Bangalore,45000000.0,Series D,Lightbox,04/10/2019
Udaan,B2B,Bangalore,585000000.0,Series D,"Altimeter Capital, DST Global",02/10/2019
The Man Company,Consumer Goods,Gurgaon,,Corporate Round,Ayushmann Khurana,21/10/2019
FPL Technologies,FinTech,Pune,4500000.0,Maiden Round,"Matrix Partners India, Sequoia India",05/09/2019
Cashflo,FinTech,Mumbai,3300000.0,Series A,SAIF Partners,04/09/2019
Digital F5,"Advertising, Marketing",Mumbai,6000000.0,Private Equity Round,TIW Private Equity,04/09/2019
3rdFlix,SaaS,Hyderabad,5000000.0,pre-series A,Exfinity Venture Partners,04/09/2019
75F,IoT,Burnsville,18000000.0,Series A,Breakthrough Energy Ventures,04/09/2019
Myelin Foundry,Information Technology,Bangalore,1000000.0,Seed,Endiya Partners,04/09/2019
Atomberg Technology,Consumer Technology,Mumbai,10000000.0,Series A,A91 Partners,04/09/2019
GOQii,Health and Wellness,Menlo Park,450000000.0,Series C,Bennett Coleman and Company Ltd (BCCL),04/09/2019
Vyapar App,Accounting,Bangalore,5000000.0,Series A,"India Quotient, Axilor Ventures",03/09/2019
CarDekho,E-Commerce,Gurgaon,20000000.0,Series C,SC GG India Mobility Holdings LLC,01/08/2019
Progcap,Finance,Delhi,5000000.0,Series A,Sequoia India,01/08/2019
MyPetrolPump,Retail,Bangalore,1600000.0,Seed Funding Round,,01/08/2019
Alteria Capital,Finance,Mumbai,140000000.0,Single Venture,"Azim Premji, Binny Bansal",01/08/2019
Pine Labs,Information Technology,Noida,38080000.0,Corporate Round,Pine Labs Pte Ltd,01/08/2019
Meesho,E-Commerce,Bangalore,125000000.0,Series D,Naspers,12/08/2019
Cars24,E-Commerce,Gurugram,11000000.0,Series D,MS Dhoni,13/08/2019
Uniphore,Customer Service Platform,Palo Alto,51000000.0,Series C,March Capital Partners,13/08/2019
Zendrive,Automotive,San Francisco,37000000.0,Series B,XL Innovate,23/08/2019
Lo! Foods,Consumer Goods,Bangalore,500000.0,Seed Round,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",23/08/2019
Tala,FinTech,Santa Monica,110000000.0,Series D,RPS Ventures,23/08/2019
INDwealth,FinTech,Gurgaon,15000000.0,Venture Round,Tiger Global Management,22/08/2019
HungerBox,Food and Beverage,Bangalore,6590000.0,Series C,One97 Communications Ltd.,21/08/2019
AdmitKard,EdTech,Noida,1000000.0,Seed Round,Growth DNA,23/08/2019
Mishry Reviews,Services,Gurgaon,,Series A,Vir Sanghvi,19/08/2019
Grofers,E-Commerce,Gurgaon,70000000.0,Series F,Softbank Vision Fund,19/08/2019
Rapido Bike Taxi,Transportation,Bangalore,3900000000.0,Series B,Westbridge Capital,27/08/2019
RenewBuy,Finance,Gurgaon,19000000.0,Series B,"Lok Capital, IIFL Wealth",02/07/2019
Atlan,Information Technology,Singapore,2500000.0,Pre-Series A,WaterBridge Ventures,02/07/2019
WizCounsel,Compliance,Delhi,145000.0,Angel,Kapil Dev,01/07/2019
Ola Cabs,Transport,Kormangala,1000000.0,Series J,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",03/07/2019
Uniphore,Artificial Intelligence,Taramani,38080000.0,Series C,March Capital Partners,01/07/2019
Daalchini Technologies,Food and Beverage,Delhi,500000.0,Seed Round,Artha Venture,04/07/2019
"""BYJU\\'S""",EdTech,Bangalore,150000000.0,Private Equity Round,Qatar Investment Authority,10/07/2019
Moglix,E-Commerce,Singapore,60000000.0,Series D,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",11/07/2019
Ezyhaul,Tech,Singapore,16000000.0,Series B,Undisclosed,10/07/2019
Indus OS,Tech,Andheri,5750000.0,Series B,Ventureast,10/07/2019
HealthAssure,Health Care,Mumbai,2500000.0,Series A,Blume Ventures,10/07/2019
House of Msasaba,Luxury Label,Mumbai,1000000.0,Series A,Binny Bansal,09/07/2019
Board Infinity,EdTech,Chembur,319605.0,Angel Round,Multiple Angel Investors,08/07/2019
NoBroker,E-Commerce,Bangalore,51000000.0,Series C,General Atlantic,05/06/2019
Bira91,Food and Beverage,Delhi,10000000.0,Debt Funding,Anicut Capital,04/06/2019
FabHotels,E-Commerce,Gurgaon,4889975.54,,"Goldman Sachs, Accel Partners and Qualcomm",03/06/2019
Avail Finance,Finance,Bangalore,9000000.0,Series A,Matrix Partners,03/06/2019
BharatPe,Finance,Delhi,75000000.0,Series B,Insight Partners,04/06/2019
Recykal,Waste Management Service,Hyderabad,26000000.0,pre-Series A,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",04/06/2019
Agara Labs,Deep-Tech,Bangalore,2500000.0,pre-Series A,Blume Ventures and RTP Global,03/06/2019
Sistema.bio,Agriculture,Nairobi,2739034.68,,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",06/06/2019
Chakr Innovation,Energy,Delhi,26000000.0,Series A,IAN Fund,06/06/2019
Pratilipi,Digital Media,Bangalore,15109500.0,Series B,Qiming Venture Partners,06/06/2019
Bolo App,Digital Media,Bangalore,430200.0,Seed Funding,Nexus Venture Partners,10/06/2019
OkCredit,FinTech,Haryana,15500000.0,Series A,Tiger Global Management,10/06/2019
Biz2Credit,FinTech,New York,52000000.0,Series B,WestBridge Capital,06/06/2019
Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,3584000.0,Debt Funding,Alteria Capital,08/06/2019
Leegality,Services,Mumbai/Bengaluru,3400000.0,Series A,Mumbai Angels,04/06/2019
Ola Electric,Transport,Bangalore,,Series A,Tata Sons,06/05/2019
Saahas Zero Waste,Waste Management Service,Bangalore,868600.0,Venture - Series Unknown,C4D Partners,06/05/2019
StyleDotMe,E-commerce,Delhi,,Bridge Round,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",05/05/2019
BlackBuck,Transport,Bangalore,150000000.0,Series D,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",01/05/2019
Zenoti,Saas,Hyderabad,50000000.0,Series C,Tiger Global Management,02/05/2019
Ather Energy,Automobile,Bangalore,51000000.0,Series C,Sachin Bansal,28/05/2019
FreshVnF,Agtech,Mumbai,140000000.0,Seed Round,Equanimity Ventures,28/05/2019
GlowRoad,E-commerce,Bangalore,11500000.0,Series B,"Korea Investment Partners, Vertex Ventures",30/05/2019
Bira91,Food and Beverage,Delhi,5600000.0,Series B,Sixth Sense Ventures,31/05/2019
Kuvera,Finance,Bangalore,45000000.0,Series A,Eight Roads,16/04/2019
Medlife,E-commerce,Bangalore,17000000.0,Private Equity,Prasid Uno Family Trust,12/04/2019
Kabadiwala,E-commerce,Bhopal,430665.0,Private Equity,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",10/04/2019
Tripoto,Social Media,Delhi,3591375.0,Series B,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",13/04/2019
Azah,Health and Wellness,Gurugram,200000.0,Seed Funding,Unnamed angel investors,12/04/2019
Setu,Fintech,Bangalore,3500000.0,Seed Funding,Lightspeed India Partners,11/04/2019
Toppr,Edtech,Mumbai,6320820.0,Debt and Preference capital,Milestone,10/04/2019
Craftsvilla,E-commerce,Mumbai,2443495.0,Inhouse Funding,Supera Pte Ltd,10/04/2019
Unacademy,Edtech,Bangalore,307000.0,Seed/ Angel Funding,Kalyan Krishnamurthy,10/04/2019
CleverTap,SaaS,Mumbai,26000000.0,Series B,"Sequoia India, Tiger Global Management, Accel Partners",11/04/2019
My Healthcare,E-commerce,Bengaluru and Gurugram,3000000.0,Series A,Sixth Sense Ventures,19/04/2019
KrazyBee,E-commerce,Bangalore,,Debt,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",19/04/2019
Shuttl,Transportation,Gurugram,5000000.0,Venture Round,New Atlantic Ventures,17/04/2019
Increff,Technology,Bangalore,3000000.0,Series A,"021 Capita, Binny Bansal",17/04/2019
FleetX,AI,Gurgaon,,Pre Series A,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,01/02/2019
Zilingo,Ecommerce,India/Singapore,226000000.0,Series D,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",08/02/2019
NanoClean Global,Nanotechnology,Delhi,600000.0,Series A,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",13/02/2019
OyoRooms,Hospitality,Gurgaon,100000000.0,Equity,DiDi Chuxing,14/02/2018
CarDekho,Automobile,Jaipur,110000000.0,Series C,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",03/01/2019
Vyome Therapeutics Inc.,Health and Wellness,India/US,22000000.0,Series D,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",04/01/2019
Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,5000000.0,Debt-Funding,"MASSIF, a Dutch government fund",04/01/2019
Manch,Social Media,Delhi,700000.0,Seed Funding,Stellaris Venture Partners,04/12/2018
UrbanClap Technologies Pvt. Ltd,Services Platform,Delhi,50000000.0,Series D,Steadview Capital and Vy Capital.,01/12/2018
Guiddoo,Travel Tech,Mumbai,800000.0,Pre-Series A,Individual Investors,02/12/2018
Career Anna,Online Education,Gurugram,572000.0,Pre-Series A,Individual Investors,02/12/2018
Nagpur Wholesale,Online Marketplace,Nagpur,143000.0,Seed Funding,Omphalos Ventures India LLP,04/12/2018
ShopKirana,B2B,Indore,2000000.0,Seed Funding,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",06/12/2018
BuildSupply,"SaaS, Ecommerce",Gurugram,3500000.0,Series A,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",06/12/2018
GoDesi,Food and Beverage,Bangalore,138995.0,Seed/ Angel Funding,Lead Angels Network,01/11/2018
Veritas Finance Ltd.,NBFC,Chennai,27799000.0,Series D,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",03/11/2018
Meesho,Ecommerce,Bangalore,50000000.0,Series C,"Shunwei Capital, DST Partners and RPS Ventures",06/11/2018
Mobile Premier League,Gaming,Bangalore,500000.0,Series A,Undisclosed,08/11/2018
A&R Bon Vivants,Food,Jaipur,1000000.0,Equity,"RB Investments, Singapore",08/11/2018
Blackbuck,Food Tech,"New York, Bengaluru",1000000.0,Series A,Tiger Global,12/11/2018
MilkBAsket,Food,Delhi,1300000.0,Series B,Mayfield Fund,12/11/2018
DriveU,Transport,Bangalore,1000000.0,Mezzanine,Stevens Creek Ventures,13/11/2018
CleanseCar,Services,Bangalore,500000.0,Seed/ Angel Funding,Venture Catalysts,14/11/2018
Automation Anywhere,Automation,California,300000000.0,Series B,SoftBank Vision Fund,19/11/2018
HealthifyMe,Health and Wellness,Bangalore,6000000.0,Series B (Extension),"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",20/11/2018
Genius Corner,Education,Noida,278000.0,Seed Funding,Individual investors,21/11/2018
Aavishkaar-Intellecap Group,Investment,Mumbai,31000000.0,Equity Based Funding,Teachers Insurance and Annuity Association (TIAA),22/11/2018
Skillbox,Social Network,Gurugram,,Seed Funding,Individual investors,22/11/2018
Signzy,Financial Tech,Mumbai/Bengaluru,3400000.0,Series A,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",23/11/2018
Engineer.ai,Software,India/US,29500000.0,Series A,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",24/11/2018
InCred Finance,Finance,India,42000000.0,Private Equity,"Paragon Partners, Individual Investors",25/11/2018
Roposo,Social Media,Delhi,1700000.0,Series B,Bertelsmann India Investments,25/11/2018
Northmist,Fashion,Delhi,,Seed/ Angel Funding,Prashant Jaiswal,01/10/2018
Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,11000000.0,Seed/ Angel Funding,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",02/10/2018
Grover Zampa,Food,Mumbai,8200000.0,Private Equity,Ravi Viswanathan,04/10/2018
Droom,Automobile,Gurgaon,3000000.0,Series E,ZigExN,05/10/2018
Innov8,Real Estate,Delhi,4000000.0,Pre-Series A,Credence Family Office,11/10/2018
Blackbuck,Logistics Tech,Bangalore,14680000.0,Private Funding,Sequoia Capital India,12/10/2018
LetsTransport,Logistics Tech,Bangalore,12000000.0,Series C,Fosun International,12/10/2018
Netmeds,Consumer Internet,Chennai,35000000.0,Private Equity,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",01/09/2018
Udaan,B2B Platform,Bangalore,225000000.0,Private Equity,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,03/09/2018
Daily hunt,Consumer Internet,Bangalore,6390000.0,Private Equity,Falcon Edge,03/09/2018
3HCare,Healthcare,Delhi,1000000.0,Seed / Angel Funding,,04/09/2018
HappyGoEasy,Consumer Internet,Gurugram,,Private Equity,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",04/09/2018
Nykaa,Consumer Internet,Mumbai,157200000.0,Private Equity,Lighthouse,05/09/2018
Mad Street Den,Technology,Chennai,,Private Equity,KDDI\\xc2\\xa0,05/09/2018
Dream11,Consumer Internet,Mumbai,100000000.0,Private Equity,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",06/09/2018
MamaEarth,Healthcare,Gurugram,4000000.0,Private Equity,Stellaris Ventures & Others,10/09/2018
AutoGrid,Technology,Bangalore,32000000.0,Private Equity,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",11/09/2018
Pharmeasy,Consumer Internet,Mumbai,5500000.0,Debt Funding,InnoVen Capital,11/09/2018
Upwards,Fin-Tech,Mumbai,5000000.0,Private Equity,"Shunwei Capital,Quotient, Mayfield & Others",11/09/2018
Kissht,Fin-Tech,Mumbai,30000000.0,Private Equity,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",12/09/2018
dishq,Food-Tech,Bangalore,400000.0,Seed/ Angel Funding,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",01/08/2018
HealthFin,Finance,Pune,,Seed/ Angel Funding,"Axilor, Sprout Venture Partners and others",01/08/2018
Samosa Labs,Consumer Internet,Hyderabad,7000000.0,Private Equity,Xiaomi and Sequoia Capital India,02/08/2018
ZiffyHomes,Consumer Internet,Gurugram,120000.0,Private Equity,Y Combinator,03/08/2018
My OmNamo,Consumer Internet,Mumbai,1000000.0,Seed/ Angel Funding,,07/08/2018
ShopX,Consumer Internet,Bangalore,35000000.0,Private Equity,Fung Strategic Holdings,07/08/2018
MakeMyTrip,Consumer Internet,Gurugram,10000000.0,Private Equity,MakeMyTrip Limited,07/08/2018
Hansel io,Consumer Internet,Bangalore,4000000.0,Seed/ Angel Funding,Vertex Ventures,08/08/2018
Metro Bikes,Consumer Internet,Bangalore,12200000.0,Private Equity,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",08/08/2018
Phone Pe,Consumer Internet,Bangalore,66000000.0,Private Equity,Flipkart,08/08/2018
quizizz,Ed-Tech,Bangalore,3000000.0,Seed/ Angel Funding,"Nexus Venture Partners, Prime Venture Partners and Others",09/08/2018
Happy EMI,Fin-Tech,Bangalore,1000000.0,Seed/ Angel Funding,AJ Ventures and Jain International Trade Organisation (JITO),09/08/2018
Inthree,Consumer Internet,Chennai,4000000.0,Seed/ Angel Funding,"Ventureast, Orios Venture Partners and the IAN Fund",13/08/2018
Observe AI,Technology,Bangalore,8000000.0,Private Equity,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",13/08/2018
Enakshi,Consumer Internet,Ahemadabad,114811.0,Seed/ Angel Funding,,16/08/2018
EazyDiner,Consumer Internet,Gurugram,5850000.0,Private Equity,Denlow Investment Trust and Beenext,17/08/2018
Finzy,Finance,Bangalore,1000000.0,Seed / Angel Funding,,20/08/2018
RawPressery,Consumer Internet,Mumbai,4800000.0,Debt Funding,Alteria Capital,20/08/2018
Pi Ventures,Technology,Bangalore,6000000.0,Private Equity,CDC Group plc\\xc2\\xa0,22/08/2018
Revv,Consumer Internet,Gurugram,14270000.0,Private Equity,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",22/08/2018
ZestMoney,Consumer Internet,Bangalore,13400000.0,Private Equity,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",26/08/2018
Shubh Loans,Fin-Tech,Bangalore,4200000.0,Private Equity,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",26/08/2018
MyUpchar,Healthcare,Delhi,5000000.0,Private Equity,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",27/08/2018
Narvar,IT,Bangalore,3000000.0,Private Equity,Accel (formerly known as Accel Partners),28/08/2018
True North,Finance,Mumbai,600000000.0,Private Equity,,30/08/2018
Leena AI,Technology,Gurugram,,Seed/ Angel Funding,Y Combinator,01/07/2018
Biryani By Kilo,Consumer Internet,Gurugram,1000000.0,Seed/ Angel Funding,Ajay Relan and Vinay Mittal,02/07/2018
Anchanto,IT,Pune,4000000.0,Private Equity,MDI Ventures & Telkom Indonesia,04/07/2018
Loan Tap,Consumer Internet,Mumbai,6250000.0,Private Equity,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",05/072018
PolicyBazaar,Consumer Internet,Gurugram,27700000.0,Private Equity,Info Edge (India) Ltd and Temasek,06/07/2018
zippserv,Consumer Internet,Bangalore,440000.0,Seed/ Angel Funding,Info Edge (India) Ltd,09/07/2018
Groww,Consumer Internet,Bangalore,1100000.0,Seed/ Angel Funding,"Insignia Ventures Partners, Lightbridge Partners & Kairos",09/07/2018
Avenue Growth,Consumer Internet,Gurugram,437000.0,Seed/ Angel Funding,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",10/07/2018
iNICU,Healthcare,Delhi,,Seed/ Angel Funding,Venture Catalysts,10/07/2018
Kinara Capital,Finance,Bangalore,5000000.0,Private Equity,ResponsAbility,10/07/2018
Shop 101,Consumer Internet,Mumbai,5000000.0,Private Equity,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",10/07/2018
Sambandh,Consumer Internet,Rourkela,2500000.0,Private Equity,Base of Pyramid Asia (BOPA) Pte Ltd,11/07/2018
19th mile,IT,Gurugram,180000.0,Seed/ Angel Funding,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",12/07/2018
5th Vital,Healthcare,Bangalore,500000.0,Seed/ Angel Funding,Brand Capital and Others,12/07/2018
MEngage,Healthcare,Jaipur,175000.0,Seed/ Angel Funding,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",13/07/2018
Ofbusiness,Finance,Gurugram,29000000.0,Private Equity,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",17/07/2018
Cars24,Consumer Internet,Gurugram,49700000.0,Private Equity,"Kingsway FCI Fund, KCK Global & Others",17/07/2018
The Ken,Consumer Internet,Bangalore,1500000.0,Seed/ Angel Funding,Omidyar Network & Others,18/07/2018
Book My Show,Consumer Internet,Mumbai,100000000.0,Private Equity,"TPG Growth, The Rise Fund & Others",19/07/2018
HousingMan,Consumer Internet,Bangalore,1500000.0,Seed/ Angel Funding,,20/07/2018
PaySense,Consumer Internet,Mumbai,18000000.0,Private Equity,PayU & Others,21/07/2018
Yulu Bikes,Technology,Bangalore,,Seed/ Angel Funding,,23/07/2018
VTION,Technology,Gurugram,280000.0,Seed/ Angel Funding,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",23/07/2018
Log9 Materials,Technology,Bangalore,436000.0,Seed/ Angel Funding,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",23/07/2018
kidovators,Ed-Tech,Bangalore,180000.0,Seed/ Angel Funding,Gray Matters,24/07/2018
Digit,Consumer Internet,Pune,45000000.0,Private Equity,Fairfax,24/07/2018
Black Soil,Finance,Mumbai,17000000.0,Private Equity,"Allcargo Logistics, Navneet Education and Mahavir Agency",25/07/2018
Trell,Consumer Internet,Bangalore,1250000.0,Seed/ Angel Funding,"BeeNext , WEH Ventures and Sprout Ventures",25/07/2018
iqlect,Technology,Bangalore,2500000.0,Seed/ Angel Funding,Ventureast and Exfinity,25/07/2018
Entropik,IT,Bangalore,1100000.0,Seed/ Angel Funding,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",26/07/2018
Bitla Software,Technology,Bangalore,,Private Equity,MakeMyTrip,26/07/2018
TheCapitalNet,Fin-Tech,Hyderabad,500000.0,Private Equity,Lindwall Family Investments LLC (LFI),26/07/2018
Shuttl,Consumer Internet,Gurugram,11000000.0,Private Equity,Amazon Alexa Fund & Dentsu Ventures,30/07/2018
Cure Fit,Consumer Internet,Bangalore,120000000.0,Private Equity,"IDG Ventures, Accel Partners, Kalaari Capital and Others",30/07/2018
Five Star Group,Fin-Tech,Chennai,100000000.0,Private Equity,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",31/07/2018
Healthsignz,Healthcare,Hyderabad,5000000.0,Seed/ Angel Funding,Kantilal Patel,31/07/2018
CoinTribe,Finance,Gurugram,10000000.0,Private Equity,"Sabre Partners, Puneet Dalmia & Others",01/06/2018
Digiconectt,Technology,Bangalore,125000.0,Seed/ Angel Funding,Aspire Logistics LLC,04/06/2018
Kashmir Box,E-Commerce,Srinagar,,Seed/ Angel Funding,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",04/06/2018
Crowdera,Finance,Nagpur,,Seed/ Angel Funding,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",05/06/2018
Zoctr,Healthcare,Mumbai,,Seed/ Angel Funding,NB Ventures and Others,05/06/2018
Annapurna Finance,Finance,Bhubneswar,23000000.0,Private Equity,Oman India Joint Investment Fund (OIJIF),07/06/2018
Meesho,Consumer Internet,Bangalore,11500000.0,Private Equity,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",07/06/2018
AyeFinance,Finance,Gurugram,21500000.0,Private Equity,"CapitalG, SAIF Partners and LGT Impact Ventures",10/06/2018
Theranosis,Healthcare,Hyderabad,,Seed/ Angel Funding,Mumbai Angels Network,11/06/2018
Alpha Capital,Finance,Mumbai,14800000.0,Private Equity,Alpha Capital,12/06/2018
eshakti,E-Commerce,Chennai,10100000.0,Private Equity,Paragon Partners,12/06/2018
Daily Ninja,Consumer Internet,Bangalore,3000000.0,Seed/ Angel Funding,Saama Capital and Sequoia Capital,12/06/2018
NirogStreet,Healthcare,Gurugram,300000.0,Seed/ Angel Funding,"Spiral Ventures, Subho Ray and Samir Kumar",13/06/2018
Nivesh,Finance,Noida,450000.0,Seed/ Angel Funding,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",13/06/2018
What\\xe2\\x80\\x99s Up Life,Consumer Internet,Gurugram,,Seed/ Angel Funding,Rannvijay Singha,13/06/2018
HomeLane,Consumer Internet,Bangalore,3450000.0,Seed/ Angel Funding,Brand Capital,14/06/2018
Network Intelligence,Technology,Mumbai,4800000.0,Private Equity,Helix Investments,14/06/2018
Tynor Othontics,Healthcare,Chandigarh,21000000.0,Private Equity,Lighthouse Funds & Thuasne Participations,18/06/2018
Elucidata,IT,Delhi & Cambridge,1700000.0,Seed/ Angel Funding,Hyperplane Venture Capital and several angel investors,18/06/2018
Chrysalis,Ed-Tech,Pune,,Seed/ Angel Funding,Menterra Venture & Artha Initiatives,19/06/2018
RentSher,Consumer Internet,Bangalore,1100000.0,Seed/ Angel Funding,"Shorooq Investments, LetsVenture & Others",19/06/2018
Drip capital,Finance,Mumbai,15000000.0,Private Equity,"Accel Partners, Sequoia India, Y Combinator and others.",20/06/2018
